ibge_code,municipio,regiao_intermediaria,regiao_imediata,populacao_censo_2022,total_denuncias,total_penal,denuncias_unicas,denuncias_unicas_penal,sem_grupo_total,sem_grupo_penal,criancas_total,criancas_penal,mulheres_total,mulheres_penal,idosos_total,idosos_penal,pcd_total,pcd_penal,lgbt_total,lgbt_penal,prisional_total,prisional_penal,denuncias_unicas_maioria_penal,total_registros,total_social,taxa_total_10k,taxa_penal_10k,taxa_denuncias_unicas_10k,taxa_denuncias_maioria_penal_10k,taxa_criancas_10k,taxa_criancas_penal_10k,taxa_mulheres_10k,taxa_mulheres_penal_10k,taxa_idosos_10k,taxa_idosos_penal_10k,taxa_pcd_10k,taxa_pcd_penal_10k,taxa_lgbt_10k,taxa_lgbt_penal_10k,taxa_prisional_10k,taxa_prisional_penal_10k
4202909,Brusque,Blumenau,Brusque,141385,9453,5830,1298,1243,425,280,4394,2638,380,282,3794,2324,1678,1108,87,45,162,132,830,9453,3623,668.6,412.35,91.81,58.7,310.78,186.58,26.88,19.95,268.35,164.37,118.68,78.37,6.15,3.18,11.46,9.34
4203006,Caçador,Caçador,Caçador,73720,6377,3760,855,833,420,271,3141,1749,519,320,2119,1325,640,399,12,7,18,15,514,6377,2617,865.03,510.04,115.98,69.72,426.07,237.25,70.4,43.41,287.44,179.73,86.81,54.12,1.63,0.95,2.44,2.03
4203105,Caibi,Chapecó,Chapecó,6304,443,288,58,57,29,24,157,82,33,21,215,153,119,87,0,0,0,0,45,443,155,702.73,456.85,92.01,71.38,249.05,130.08,52.35,33.31,341.05,242.7,188.77,138.01,0.0,0.0,0.0,0.0
4203154,Calmon,Caçador,Caçador,3443,695,354,96,91,3,2,411,216,18,9,248,118,106,60,0,0,0,0,35,695,341,2018.59,1028.17,278.83,101.66,1193.73,627.36,52.28,26.14,720.3,342.72,307.87,174.27,0.0,0.0,0.0,0.0
4203204,Camboriú,Blumenau,Itajaí,103074,8609,5225,1198,1147,359,220,5547,3241,439,311,2139,1389,932,595,79,53,43,38,756,8609,3384,835.23,506.92,116.23,73.35,538.16,314.43,42.59,30.17,207.52,134.76,90.42,57.73,7.66,5.14,4.17,3.69
4203303,Campo Alegre,Joinville,São Bento do Sul - Rio Negrinho,12501,813,436,99,95,40,25,409,224,30,18,294,153,140,70,0,0,0,0,54,813,377,650.35,348.77,79.19,43.2,327.17,179.19,24.0,14.4,235.18,122.39,111.99,56.0,0.0,0.0,0.0,0.0
4203402,Campo Belo do Sul,Lages,Lages,7257,632,379,92,84,8,7,158,95,21,11,426,249,52,38,0,0,24,18,48,632,253,870.88,522.25,126.77,66.14,217.72,130.91,28.94,15.16,587.02,343.12,71.65,52.36,0.0,0.0,33.07,24.8
4203501,Campo Erê,Chapecó,São Lourenço do Oeste,9623,879,569,93,93,113,84,394,236,31,20,199,133,197,135,0,0,0,0,67,879,310,913.44,591.29,96.64,69.62,409.44,245.25,32.21,20.78,206.8,138.21,204.72,140.29,0.0,0.0,0.0,0.0
4203600,Campos Novos,Chapecó,Joaçaba - Herval d'Oeste,36932,2332,1417,315,296,148,79,1111,620,53,36,845,561,438,281,17,11,36,34,207,2332,915,631.43,383.68,85.29,56.05,300.82,167.88,14.35,9.75,228.8,151.9,118.6,76.09,4.6,2.98,9.75,9.21
4203709,Canelinha,Blumenau,Brusque,12821,968,578,112,107,26,18,451,236,13,6,400,258,212,140,58,45,0,0,65,968,390,755.01,450.82,87.36,50.7,351.77,184.07,10.14,4.68,311.99,201.23,165.35,109.2,45.24,35.1,0.0,0.0
